,City,State,Businesses,Stars_Avg,Category_Avg,Stars,Category
613,Arrington,TN,1,4.0,6.0,4.0,6
614,Franconia Township,PA,5,3.9,5.2,19.5,26
615,Bargersville,IN,2,3.75,5.5,7.5,11
616,West Alton,MO,1,3.5,2.0,3.5,2
617,Mt Laurel Twp  NJ,NJ,1,3.5,3.0,3.5,3
618,Greenwich Township,NJ,5,3.5,3.6,17.5,18
619,Citrus Park,FL,1,3.0,7.0,3.0,7
620,NEW PRT RCHY,FL,1,5.0,4.0,5.0,4
621,West Mount Holly,NJ,1,3.5,3.0,3.5,3
622,Upland,PA,1,2.0,5.0,2.0,5
623,New orleans,LA,1,4.5,2.0,4.5,2
624,CREVE COEUR,MO,1,3.5,6.0,3.5,6
625,Horseshoe Bend,ID,1,4.5,3.0,4.5,3
626,OFallon,IL,1,3.5,3.0,3.5,3
627,Colebrookdale Township,PA,1,3.5,3.0,3.5,3
628,Hilltop,NJ,1,4.5,2.0,4.5,2
629,Saint Rose,LA,3,4.333333333333333,2.6666666666666665,13.0,8
630,Tampa   North,FL,1,3.5,12.0,3.5,12
631,Beech Grove ,IN,1,4.5,8.0,4.5,8
632,Edgmont Township,PA,3,3.0,4.0,9.0,12
633,Thonosassa,FL,1,4.0,5.0,4.0,5
634,Elk Township,NJ,4,3.125,2.25,12.5,9
635,franklin,TN,1,4.5,2.0,4.5,2
636,AMBLER,PA,1,3.0,4.0,3.0,4
637,Vincentown,NJ,4,4.375,4.5,17.5,18
638,Indian Rocks Beach  ,FL,1,4.5,6.0,4.5,6
639,Los Angeles,CA,1,5.0,3.0,5.0,3
640,Darby Township,PA,1,4.5,6.0,4.5,6
641,Wesley chapel,FL,2,3.25,5.5,6.5,11
642,Clearwater ,FL,1,1.0,5.0,1.0,5
643,Winslow Township,NJ,4,3.5,4.0,14.0,16
644,Blvd,MO,1,4.5,6.0,4.5,6
645,North Redington Bch,FL,3,4.0,3.6666666666666665,12.0,11
646,Hartford,IL,2,3.75,2.5,7.5,5
647,maple shade nj,NJ,1,2.0,5.0,2.0,5
648,East Coventry Township,PA,1,5.0,2.0,5.0,2
649,Had Twp,NJ,1,4.5,5.0,4.5,5
650,Westmont   Haddon Towsship,NJ,1,3.0,2.0,3.0,2
651,Westfield,IN,1,4.0,2.0,4.0,2
652,Wilmington Manor,DE,1,5.0,6.0,5.0,6
653,Yorklyn,DE,1,4.5,2.0,4.5,2
654,Saint Bernard,LA,2,4.25,4.5,8.5,9
655,West Trenton,NJ,1,2.0,2.0,2.0,2
656,Denver,CO,1,4.5,3.0,4.5,3
657,Lansdale ,PA,1,4.0,4.0,4.0,4
658,Crosswicks,NJ,1,3.5,2.0,3.5,2
659,RIVERVIEW,FL,1,5.0,4.0,5.0,4
660,Mt Holly,NJ,2,3.75,6.0,7.5,12
661,Solebury Township,PA,2,4.25,4.0,8.5,8
662,Green Park,MO,1,3.5,5.0,3.5,5
663,Zephryhills,FL,1,3.5,4.0,3.5,4
664,Cornwells Heights,PA,2,2.0,3.5,4.0,7
665,St  Loius,MO,2,4.5,6.0,9.0,12
666,largo,FL,1,3.5,5.0,3.5,5
667,NEWARK,DE,1,4.5,5.0,4.5,5
668,Echelon,NJ,1,3.0,4.0,3.0,4
669,South Roxana,IL,1,5.0,4.0,5.0,4
670,Cottage Hills,IL,1,2.5,4.0,2.5,4
671,Oakford,PA,1,3.0,6.0,3.0,6
672,Belleair Blf,FL,2,3.75,3.5,7.5,7
673,Pilgrim Gardens,PA,1,4.0,2.0,4.0,2
674,North Marlton,NJ,1,3.5,6.0,3.5,6
675,Glendale,MO,1,5.0,10.0,5.0,10
676,Tarpon springs,FL,1,3.5,4.0,3.5,4
677,Moorestown Lenola,NJ,1,2.5,5.0,2.5,5
678,Bayonet Point,FL,2,3.75,3.5,7.5,7
679,Tampa Terrace,FL,1,4.5,6.0,4.5,6
680,St  Rose,LA,1,4.5,4.0,4.5,4
681, Clayton,MO,1,4.0,2.0,4.0,2
682,Mehlville,MO,2,2.75,3.0,5.5,6
683,Shady Hills,FL,1,5.0,4.0,5.0,4
684,Cherry Hil,NJ,1,4.5,3.0,4.5,3
685,Eagle ,ID,1,5.0,6.0,5.0,6
686,Andalusia,PA,2,4.5,4.5,9.0,9
687,Mt Laurel Township,NJ,1,2.5,6.0,2.5,6
688,West  Deptford,NJ,1,2.5,4.0,2.5,4
689,Ofallon,IL,1,2.0,3.0,2.0,3
690,Lower Frederick,PA,1,3.5,3.0,3.5,3
691,Washington Twp,NJ,1,4.0,4.0,4.0,4
692,Woodbourne,PA,1,4.5,4.0,4.5,4
693,Riveridge,LA,1,2.5,6.0,2.5,6
694,North Coventry Township,PA,1,3.0,8.0,3.0,8
695,Chesilhurst,NJ,2,3.75,6.0,7.5,12
696,Rural Hill,TN,1,4.0,4.0,4.0,4
697,Fairview Hts,IL,1,2.0,6.0,2.0,6
698,Centreville,IL,2,2.0,3.0,4.0,6
699, Lithia,FL,1,1.5,3.0,1.5,3
700,Quinton Township,NJ,1,3.0,2.0,3.0,2
701,Eastampton Township,NJ,1,4.0,11.0,4.0,11
702,South Tucson,AZ,2,3.25,3.5,6.5,7
703,East Caln Township,PA,1,1.0,2.0,1.0,2
704,New Whiteland,IN,3,3.5,7.333333333333333,10.5,22
705,Roseville,MI,1,2.5,6.0,2.5,6
